,precision,recall,f1-score,support
alureon,0.2597291924448767,0.38884210526315793,0.295259520532389,950.0
banjori,1.0,1.0,1.0,950.0
bedep,0.5325843334917056,0.6103157894736841,0.5556453313750905,950.0
ccleaner,0.9923005094811528,0.9976842105263157,0.9949726374572402,950.0
chinad,0.9298787655260601,0.8829473684210527,0.9042035992961075,950.0
corebot,0.9958033243166445,0.9879999999999999,0.9918749923289735,950.0
cryptolocker,0.4026489064654262,0.2913684210526316,0.32676651095179976,950.0
dircrypt,0.2604824852556324,0.2347368421052632,0.22580741981811475,950.0
dyre,0.9968736171567303,0.9993684210526315,0.9981128579918174,950.0
fobber_v1,0.7590755064566527,0.968421052631579,0.8504609646450343,950.0
fobber_v2,0.28443479271492383,0.46926315789473677,0.3392144130743773,950.0
gozi_gpl,0.9283448938205522,0.9046315789473685,0.9089089873317453,950.0
gozi_luther,0.8548375489608379,0.712421052631579,0.7308226285142593,950.0
gozi_nasa,0.6342612465169276,0.7012631578947369,0.654869038522554,950.0
gozi_rfc4343,0.6427103172403086,0.6892631578947368,0.6632462578614055,950.0
kraken_v1,0.8384706555807775,0.6012631578947368,0.6869593093508052,950.0
kraken_v2,0.42341780401507423,0.38442105263157894,0.401974130129146,950.0
locky,0.37115737064425247,0.19810526315789473,0.2572811564901091,950.0
matsnu,0.9410570631068325,0.8880000000000001,0.9098798193484047,950.0
murofet_v1,0.9831958047658343,0.9635789473684209,0.9729877922152982,950.0
murofet_v2,0.7952147827425621,0.9008421052631579,0.837498155064037,950.0
murofet_v3,1.0,0.9922105263157894,0.996089070592126,950.0
necurs,0.40037975129627607,0.1288421052631579,0.1752888439773606,950.0
nymaim,0.9148503667757495,0.7932631578947369,0.844448032857348,950.0
padcrypt,0.9793820936622026,0.9774736842105263,0.9783998075576564,950.0
pizd,0.6466112007007311,0.7347368421052631,0.6682523670215668,950.0
proslikefan,0.3945560382089001,0.5538947368421053,0.45387588966312764,950.0
pushdo,0.8461458467416592,0.7797894736842106,0.7757716451864562,950.0
pykspa,0.24078751541012347,0.17494736842105263,0.19131995433634919,950.0
pykspa_noise,0.30412169326344135,0.1882105263157895,0.21128636223918135,950.0
qadars,0.8171091247284862,0.8338947368421052,0.8221949548424552,950.0
qakbot,0.5976672152815851,0.3766315789473684,0.4287244620852005,950.0
ramdo,0.960767599241003,0.992421052631579,0.976224678160556,950.0
ramnit,0.20797252053056817,0.22736842105263158,0.2130829591015503,950.0
ranbyus_v1,0.4867331069886999,0.5741052631578948,0.48868516632181025,950.0
ranbyus_v2,0.6347672070328861,0.616421052631579,0.616174211847811,950.0
rovnix,0.8801864158617967,0.844,0.853732812552401,950.0
shiotob,0.7455313321333445,0.6134736842105262,0.6681166492944032,950.0
simda,0.7898207718331527,0.6576842105263159,0.6343465857543731,950.0
sisron,0.9976760123640325,0.8503157894736842,0.8862298529052902,950.0
suppobox_1,0.7451458545893169,0.6271578947368421,0.5990957479079688,950.0
suppobox_2,0.890784413329748,0.8867368421052632,0.8871206268226415,950.0
suppobox_3,0.9814333991181841,0.9741052631578947,0.9773667809972876,950.0
symmi,0.9893862153855997,0.9989473684210527,0.9941379510036639,950.0
tempedreve,0.39579903179208986,0.43999999999999995,0.40856265962290844,950.0
tinba,0.33013437072690516,0.3042105263157895,0.2766063999198838,950.0
vawtrak_v1,0.9904332917884634,0.9625263157894736,0.9745370747727522,950.0
vawtrak_v2,0.8041936414300042,0.7115789473684211,0.7470651548941196,950.0
vawtrak_v3,0.7068213371682078,0.8602105263157895,0.7733337846088671,950.0
zeus-newgoz,0.9993664202745511,0.9852631578947368,0.9922008683077687,950.0
legit,0.6714765235564878,0.6696842105263158,0.6649677070760116,950.0
accuracy,0.6883302373581012,0.6883302373581012,0.6883302373581012,0.6883302373581012
macro avg,0.7093435143513326,0.6883302373581011,0.6800781291084237,48450.0
weighted avg,0.7093435143513325,0.6883302373581012,0.6800781291084237,48450.0
