,precision,recall,f1-score,support
alureon,0.32662192393736017,0.1622222222222222,0.2167780252412769,900.0
banjori,0.9857612267250822,1.0,0.9928295642581357,900.0
bedep,0.4069702079820124,0.8044444444444444,0.5405001866368048,900.0
ccleaner,0.9697624190064795,0.9977777777777778,0.9835706462212486,900.0
chinad,0.8710659898477158,0.9533333333333334,0.9103448275862069,900.0
corebot,0.9343065693430657,0.9955555555555555,0.9639591178052717,900.0
cryptolocker,0.42,0.16333333333333333,0.23520000000000002,900.0
dircrypt,0.2419753086419753,0.10888888888888888,0.15019157088122606,900.0
dyre,1.0,1.0,1.0,900.0
fobber_v1,0.7557034220532319,0.8833333333333333,0.8145491803278689,900.0
fobber_v2,0.2899610136452242,0.6611111111111111,0.40311653116531165,900.0
gozi_gpl,0.7185461323392358,0.8566666666666667,0.7815509376583883,900.0
gozi_luther,0.6002554278416348,0.5222222222222223,0.5585264408793822,900.0
gozi_nasa,0.34285714285714286,0.5466666666666666,0.42141327623126335,900.0
gozi_rfc4343,0.4264705882352941,0.41888888888888887,0.42264573991031384,900.0
kraken_v1,0.6240157480314961,0.7044444444444444,0.6617954070981211,900.0
kraken_v2,0.45,0.31,0.36710526315789477,900.0
locky,0.33814432989690724,0.18222222222222223,0.23682310469314083,900.0
matsnu,0.8162055335968379,0.9177777777777778,0.8640167364016735,900.0
murofet_v1,0.9267241379310345,0.9555555555555556,0.9409190371991248,900.0
murofet_v2,0.7258592471358429,0.9855555555555555,0.8360037700282753,900.0
murofet_v3,1.0,0.9977777777777778,0.9988876529477196,900.0
necurs,0.627906976744186,0.12,0.20149253731343283,900.0
nymaim,0.7487562189054726,0.6688888888888889,0.7065727699530516,900.0
padcrypt,0.9487726787620064,0.9877777777777778,0.9678824169842134,900.0
pizd,0.4318936877076412,0.5777777777777777,0.49429657794676807,900.0
proslikefan,0.47667638483965014,0.36333333333333334,0.41235813366960905,900.0
pushdo,0.6705253784505788,0.8366666666666667,0.7444389520514089,900.0
pykspa,0.22916666666666666,0.024444444444444446,0.04417670682730924,900.0
pykspa_noise,0.3060200668896321,0.20333333333333334,0.24432576769025366,900.0
qadars,0.9511111111111111,0.7133333333333334,0.8152380952380953,900.0
qakbot,0.6685185185185185,0.4011111111111111,0.5013888888888889,900.0
ramdo,0.9573105656350054,0.9966666666666667,0.9765922700054437,900.0
ramnit,0.3047619047619048,0.07111111111111111,0.1153153153153153,900.0
ranbyus_v1,0.5113725490196078,0.7244444444444444,0.5995402298850575,900.0
ranbyus_v2,0.6204081632653061,0.6755555555555556,0.6468085106382978,900.0
rovnix,0.6372340425531915,0.6655555555555556,0.6510869565217391,900.0
shiotob,0.7172413793103448,0.6933333333333334,0.7050847457627117,900.0
simda,0.604149377593361,0.8088888888888889,0.6916864608076009,900.0
sisron,0.6998444790046656,1.0,0.8234217749313815,900.0
suppobox_1,0.4345088161209068,0.38333333333333336,0.4073199527744983,900.0
suppobox_2,0.7231404958677686,0.7777777777777778,0.7494646680942184,900.0
suppobox_3,0.7315247895229187,0.8688888888888889,0.7943118334179786,900.0
symmi,0.948051948051948,0.9733333333333334,0.9605263157894737,900.0
tempedreve,0.37329700272479566,0.45666666666666667,0.41079460269865076,900.0
tinba,0.4280639431616341,0.2677777777777778,0.32946001367054,900.0
vawtrak_v1,0.9574468085106383,1.0,0.9782608695652174,900.0
vawtrak_v2,0.425,0.18888888888888888,0.2615384615384615,900.0
vawtrak_v3,0.41142020497803805,0.9366666666666666,0.5717192268565615,900.0
zeus-newgoz,0.975,0.9966666666666667,0.9857142857142858,900.0
legit,0.7823529411764706,0.44333333333333336,0.5659574468085107,900.0
accuracy,0.6461437908496732,0.6461437908496732,0.6461437908496732,0.6461437908496732
macro avg,0.6367192837039518,0.6461437908496732,0.6207353294840711,45900.0
weighted avg,0.6367192837039518,0.6461437908496732,0.6207353294840711,45900.0
