,precision,recall,f1-score,support
alureon,0.36830758174631695,0.21578947368421053,0.2721359352183725,4750.0
banjori,0.9282782880594098,1.0,0.9628053106313976,4750.0
bedep,0.8049555273189326,0.5334736842105263,0.64168143833882,4750.0
ccleaner,0.9953888073779082,0.9997894736842106,0.9975842873647727,4750.0
chinad,0.973901973265436,0.9663157894736842,0.9700940505125224,4750.0
corebot,0.9993645414107181,0.9932631578947368,0.9963045084996304,4750.0
cryptolocker,0.6184323858742463,0.4534736842105263,0.523260051014211,4750.0
dircrypt,0.4513132607303011,0.2966315789473684,0.3579776422764227,4750.0
dyre,0.9987384356602187,1.0,0.9993688196928256,4750.0
fobber_v1,0.8584301161393673,0.9025263157894737,0.8799261083743842,4750.0
fobber_v2,0.3529178638660458,0.7498947368421053,0.4799568820319342,4750.0
gozi_gpl,0.9272583514528563,0.987578947368421,0.956468549291467,4750.0
gozi_luther,0.904375,0.9138947368421053,0.909109947643979,4750.0
gozi_nasa,0.8438138479001135,0.7825263157894737,0.8120152921900602,4750.0
gozi_rfc4343,0.7957630604689429,0.8145263157894737,0.8050353724511029,4750.0
kraken_v1,0.6803344589162245,0.8907368421052632,0.7714468046312335,4750.0
kraken_v2,0.6518602885345482,0.36147368421052634,0.465059588299025,4750.0
locky,0.6659867414584396,0.5498947368421052,0.6023985239852397,4750.0
matsnu,0.9466362126245847,0.9597894736842105,0.9531674681162451,4750.0
murofet_v1,0.9903503251520873,0.9938947368421053,0.9921193653462227,4750.0
murofet_v2,0.8581170676264444,0.9536842105263158,0.9033801974274603,4750.0
murofet_v3,1.0,0.9966315789473684,0.9983129481231547,4750.0
necurs,0.8878923766816144,0.5418947368421053,0.6730291541377958,4750.0
nymaim,0.9238938053097345,0.8791578947368421,0.9009708737864078,4750.0
padcrypt,0.9905916788626385,0.9974736842105263,0.9940207699569915,4750.0
pizd,0.8705138662316476,0.8987368421052632,0.8844002486016158,4750.0
proslikefan,0.6445974576271186,0.512421052631579,0.5709594182500587,4750.0
pushdo,0.9136690647482014,0.9625263157894737,0.9374615542341602,4750.0
pykspa,0.3317740194314502,0.38821052631578945,0.35778036476523095,4750.0
pykspa_noise,0.31300285491824553,0.2538947368421053,0.2803673137277694,4750.0
qadars,0.935042735042735,0.9212631578947369,0.928101802757158,4750.0
qakbot,0.906563354603464,0.4187368421052632,0.5728686635944701,4750.0
ramdo,0.9795834192617034,1.0,0.9896864256693405,4750.0
ramnit,0.3504890544946437,0.31684210526315787,0.33281733746130027,4750.0
ranbyus_v1,0.6989514839168296,0.828,0.7580225498699046,4750.0
ranbyus_v2,0.6805117420259376,0.8174736842105264,0.7427314460596787,4750.0
rovnix,0.9750457875457875,0.8966315789473684,0.9341960956350077,4750.0
shiotob,0.90879094979967,0.8117894736842105,0.8575558767930612,4750.0
simda,0.8509711381375931,0.9869473684210527,0.9139292328687006,4750.0
sisron,0.9955984070425488,1.0,0.9977943493330532,4750.0
suppobox_1,0.9105603448275862,0.8894736842105263,0.8998935037273695,4750.0
suppobox_2,0.9250936329588015,0.988,0.9555125725338491,4750.0
suppobox_3,0.9823943661971831,0.9985263157894737,0.990394654416371,4750.0
symmi,0.9931005644992682,1.0,0.9965383405014161,4750.0
tempedreve,0.34962287869264613,0.46842105263157896,0.4003958970667626,4750.0
tinba,0.5215545828359199,0.8277894736842105,0.6399218813573114,4750.0
vawtrak_v1,0.9887523432618205,0.9993684210526316,0.9940320385299968,4750.0
vawtrak_v2,0.9179557470139025,0.9869473684210527,0.9512021913361064,4750.0
vawtrak_v3,0.9231071779744346,0.9882105263157894,0.9545500762582613,4750.0
zeus-newgoz,0.9993670886075949,0.9972631578947369,0.9983140147523709,4750.0
legit,0.7924901185770751,0.7597894736842106,0.7757953568357695,4750.0
accuracy,0.7970897832817337,0.7970897832817337,0.7970897832817337,0.7970897832817337
macro avg,0.8054118858178616,0.7970897832817337,0.7928010411034858,242250.0
weighted avg,0.8054118858178615,0.7970897832817337,0.7928010411034858,242250.0
